XML_ID|AMOUNT
232408|1453
5610286|50
5833742|234
6240597|199
9722591|132
8597250|895
14335857|13
5903170|138
9676925|250
8668172|14
9789792|16
10459960|23
248203|42
249379|14
2824220|35
5052040|41
5970908|108
6424215|1373
8790938|56
10632926|1396
1567862|312
6935015|63
8262961|245
10328904|703
145769|168
4297896|112
6396184|107
10536439|4
9689894|12
9718523|150
13170566|46
1554763|78
144708|56
234271|61
364229|38
4155242|173
8092116|248
10455994|10
1854325|129
4431081|17
9359084|524
9758817|36
12215999|56
1443440|238
4410102|397
4277933|929
5399822|250
6244346|23
9151117|121
10230309|9
14352322|23
238555|166
3578923|37
5703301|438
6541333|64
9680851|7
9745473|21
9739385|460
10678249|119
12129849|287
12160450|3
144947|19
916966|243
2669910|160
2165272|72
4858563|425
5970904|69
5583489|122
6935048|30
8405688|1565
10208375|659
12155921|19
232853|157
146116|16
6198227|444
5173420|185
10180995|29
9735347|20
10813165|688
448409|72
249978|106
2593662|355
7099271|516
9573617|5368
14443629|25
8023869|294
9735712|51
10033201|23
11641434|53
12170295|24
13829073|22
13916166|90
6078028|93
2939920|49
4516784|21
2318479|168
5619502|34
6948597|37
11833743|9
12183646|28
10683728|3
12721388|36
5359489|109
7302501|18
10936761|17
12670033|75
240268|60
232016|112
3148710|247
10226146|23
12104816|336
455453|27
236370|693
147072|179
145624|1689
2278098|80
4632980|296
12129287|68
14392900|29
5860447|106
7808672|214
10172564|122
10763745|19
11476464|7
427612|226
143942|1885
5254013|1416
5783979|10
9682966|34
9746181|214
10182753|42
10693192|13
146249|68
9884646|25
12648440|287
12466693|71
13240973|83
4018300|376
9678865|774
9739003|75
9735461|60
814011|6
2539479|189
5052055|80
6371256|1004
9747188|117
10630186|102
10630194|212
10846218|126
14443589|89
10457918|104
14346580|10
14384740|26
11924181|17
1306495|1460
447567|83
1836129|22
6366311|127
9689892|45
10502657|12
14369691|1179
14472837|11
252872|23
239340|69
10699574|7
248201|34
5763831|202
9689866|84
1058238|22
247553|1235
234297|80
384532|56
3014608|318
5318737|25
12961174|30
10852433|46
14351776|51
1065346|171
5635607|150
7501686|44
10250330|36
10734304|3
11723044|14
13681585|6
13228014|48
14467849|10
4214580|254
4327620|1718
10404266|274
10624035|48
1065348|216
244921|92
10725763|17
1575292|460
6248377|899
6180002|100
7660898|248
10649300|20
9681530|647
10694224|95
14403505|110
141537|69
243170|16
5734337|72
6240591|2
9750758|56
11334750|65
9988584|46
10411024|29
10726786|24
14352316|53
146911|421
144257|50
770574|39
3362632|1121
10197218|52
10361666|72
13257145|45
6366299|137
9684084|87
10220790|5
10581754|10
10140516|7
147541|33
1689034|24
234088|93
1009011|156
4175408|328
5133558|19
8896468|565
9674319|5207
10438853|13
144014|225
144969|50
3234446|10
10025555|17
11474416|17
13146857|57
5568356|452
5876974|2184
10383018|378
1212129|51
944762|31
396413|182
2896471|182
6451558|118
9844907|788
9728336|12
13005793|16
12579759|55
14339228|117
1436942|254
146637|2799
4915788|1053
5366726|4000
6257596|531
2499218|85
